t,xdot_g,ydot_g,phidot
0.0,0.8,0.0,0.0
0.1,0.8,0.0,0.0
0.2,0.8,0.0,0.0
0.3,0.8,0.0,0.0
0.4,0.8,0.0,0.0
0.5,0.8,0.0,0.0
0.6,0.8,0.0,0.0
0.7,0.8,0.0,0.0
0.8,0.8,0.0,0.0
0.9,0.8,0.0,0.0
1.0,0.8,0.0,0.0
1.1,0.8,0.0,0.0
1.2,0.8,0.0,0.0
1.3,0.8,0.0,0.0
1.4,0.8,0.0,0.0
1.5,0.8,0.0,0.0
1.6,0.8,0.0,0.0
1.7,0.8,0.0,0.0
1.8,0.8,0.0,0.0
1.9,0.8,0.0,0.0
2.0,0.8,0.0,0.0
2.1,0.799998,0.001569,0.03923
2.2,0.799975,0.006267,0.078217
2.3,0.799876,0.014064,0.116723
2.4,0.799612,0.02491,0.154508
2.5,0.799062,0.038733,0.191342
2.6,0.798077,0.055437,0.226995
2.7,0.796486,0.074901,0.261249
2.8,0.7941,0.096978,0.293893
2.9,0.790721,0.12149,0.324724
3.0,0.786147,0.148231,0.353553
3.1,0.780181,0.176967,0.380203
3.2,0.772639,0.207434,0.404508
3.3,0.763358,0.239342,0.42632
3.4,0.752203,0.27238,0.445503
3.5,0.739075,0.306217,0.46194
3.6,0.723915,0.340511,0.475528
3.7,0.706711,0.374914,0.486185
3.8,0.687498,0.40908,0.493844
3.9,0.666364,0.442673,0.498459
4.0,0.643443,0.475374,0.5
4.1,0.61892,0.506891,0.498459
4.2,0.593019,0.536962,0.493844
4.3,0.566006,0.565365,0.486185
4.4,0.538176,0.591918,0.475528
4.5,0.50985,0.616485,0.46194
4.6,0.481363,0.638975,0.445503
4.7,0.453061,0.659345,0.42632
4.8,0.425288,0.677591,0.404508
4.9,0.398382,0.693752,0.380203
5.0,0.372667,0.707898,0.353553
5.1,0.34845,0.720127,0.324724
5.2,0.326013,0.730558,0.293893
5.3,0.305612,0.739325,0.261249
5.4,0.287474,0.746565,0.226995
5.5,0.271796,0.752414,0.191342
5.6,0.258745,0.757001,0.154508
5.7,0.248456,0.760441,0.116723
5.8,0.241032,0.762826,0.078217
5.9,0.236548,0.764228,0.03923
6.0,0.235049,0.764691,0.0
6.1,0.236548,0.764228,-0.03923
6.2,0.241032,0.762826,-0.078217
6.3,0.248456,0.760441,-0.116723
6.4,0.258745,0.757001,-0.154508
6.5,0.271796,0.752414,-0.191342
6.6,0.287474,0.746565,-0.226995
6.7,0.305612,0.739325,-0.261249
6.8,0.326013,0.730558,-0.293893
6.9,0.34845,0.720127,-0.324724
7.0,0.372667,0.707898,-0.353553
7.1,0.398382,0.693752,-0.380203
7.2,0.425288,0.677591,-0.404508
7.3,0.453061,0.659345,-0.42632
7.4,0.481363,0.638975,-0.445503
7.5,0.50985,0.616485,-0.46194
7.6,0.538176,0.591918,-0.475528
7.7,0.566006,0.565365,-0.486185
7.8,0.593019,0.536962,-0.493844
7.9,0.61892,0.506891,-0.498459
8.0,0.643443,0.475374,-0.5
8.1,0.666364,0.442673,-0.498459
8.2,0.687498,0.40908,-0.493844
8.3,0.706711,0.374914,-0.486185
8.4,0.723915,0.340511,-0.475528
8.5,0.739075,0.306217,-0.46194
8.6,0.752203,0.27238,-0.445503
8.7,0.763358,0.239342,-0.42632
8.8,0.772639,0.207434,-0.404508
8.9,0.780181,0.176967,-0.380203
9.0,0.786147,0.148231,-0.353553
9.1,0.790721,0.12149,-0.324724
9.2,0.7941,0.096978,-0.293893
9.3,0.796486,0.074901,-0.261249
9.4,0.798077,0.055437,-0.226995
9.5,0.799062,0.038733,-0.191342
9.6,0.799612,0.02491,-0.154508
9.7,0.799876,0.014064,-0.116723
9.8,0.799975,0.006267,-0.078217
9.9,0.799998,0.001569,-0.03923
10.0,0.8,0.0,-0.0
10.1,0.8,0.0,0.0
10.2,0.8,0.0,0.0
10.3,0.8,0.0,0.0
10.4,0.8,0.0,0.0
10.5,0.8,0.0,0.0
10.6,0.8,0.0,0.0
10.7,0.8,0.0,0.0
10.8,0.8,0.0,0.0
10.9,0.8,0.0,0.0
11.0,0.8,0.0,0.0
11.1,0.8,0.0,0.0
11.2,0.8,0.0,0.0
11.3,0.8,0.0,0.0
11.4,0.8,0.0,0.0
11.5,0.8,0.0,0.0
11.6,0.8,0.0,0.0
11.7,0.8,0.0,0.0
11.8,0.8,0.0,0.0
11.9,0.8,0.0,0.0
12.0,0.8,0.0,0.0
